order_id,order_time,customer_id,customer_name,is_member,product_id,product_name,category,quantity,unit_price,sales_amount,unit_cost,cost_amount,profit
O0014,2026-08-14 07:48:00,C049,ลูกค้า 49,True,S07,เยลลี่,ขนม,4,25,100,18,72,28
O0014,2026-08-14 07:48:00,C049,ลูกค้า 49,True,S10,เค้ก,ขนม,2,21,42,13,26,16
O0014,2026-08-14 07:48:00,C049,ลูกค้า 49,True,S06,ข้าวเกรียบ,ขนม,3,25,75,10,30,45
O0015,2026-08-15 11:44:00,C041,ลูกค้า 41,True,S02,ขนมปังกรอบ,ขนม,3,23,69,17,51,18
O0015,2026-08-15 11:44:00,C041,ลูกค้า 41,True,S03,ช็อกโกแลต,ขนม,4,30,120,16,64,56
O0015,2026-08-15 11:44:00,C041,ลูกค้า 41,True,S04,เวเฟอร์,ขนม,1,18,18,13,13,5
O0016,2026-08-24 14:37:00,C043,ลูกค้า 43,True,W03,น้ำอัดลม,เครื่องดื่ม,1,13,13,6,6,7
O0016,2026-08-24 14:37:00,C043,ลูกค้า 43,True,S04,เวเฟอร์,ขนม,3,18,54,13,39,15
O0016,2026-08-24 14:37:00,C043,ลูกค้า 43,True,S08,ถั่วอบ,ขนม,1,19,19,8,8,11
O0016,2026-08-24 14:37:00,C043,ลูกค้า 43,True,W01,น้ำดื่ม,เครื่องดื่ม,1,21,21,15,15,6
O0017,2026-08-30 07:02:00,C039,ลูกค้า 39,True,W03,น้ำอัดลม,เครื่องดื่ม,3,13,39,6,18,21
O0017,2026-08-30 07:02:00,C039,ลูกค้า 39,True,S01,มันฝรั่งทอด,ขนม,4,18,72,12,48,24
O0017,2026-08-30 07:02:00,C039,ลูกค้า 39,True,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0018,2026-08-26 13:34:00,C045,ลูกค้า 45,False,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0018,2026-08-26 13:34:00,C045,ลูกค้า 45,False,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0019,2026-08-09 13:10:00,C018,ลูกค้า 18,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,3,17,51,7,21,30
O0020,2026-08-14 20:02:00,C049,ลูกค้า 49,True,S03,ช็อกโกแลต,ขนม,3,30,90,16,48,42
O0020,2026-08-14 20:02:00,C049,ลูกค้า 49,True,S04,เวเฟอร์,ขนม,3,18,54,13,39,15
O0020,2026-08-14 20:02:00,C049,ลูกค้า 49,True,W03,น้ำอัดลม,เครื่องดื่ม,4,13,52,6,24,28
O0020,2026-08-14 20:02:00,C049,ลูกค้า 49,True,S05,คุกกี้,ขนม,4,18,72,12,48,24
O0021,2026-08-18 17:12:00,C029,ลูกค้า 29,True,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0022,2026-08-19 08:34:00,C017,ลูกค้า 17,False,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,1,17,17,7,7,10
O0022,2026-08-19 08:34:00,C017,ลูกค้า 17,False,S05,คุกกี้,ขนม,4,18,72,12,48,24
O0022,2026-08-19 08:34:00,C017,ลูกค้า 17,False,S02,ขนมปังกรอบ,ขนม,3,23,69,17,51,18
O0023,2026-08-15 18:43:00,C043,ลูกค้า 43,True,S04,เวเฟอร์,ขนม,3,18,54,13,39,15
O0023,2026-08-15 18:43:00,C043,ลูกค้า 43,True,S01,มันฝรั่งทอด,ขนม,2,18,36,12,24,12
O0023,2026-08-15 18:43:00,C043,ลูกค้า 43,True,S07,เยลลี่,ขนม,4,25,100,18,72,28
O0023,2026-08-15 18:43:00,C043,ลูกค้า 43,True,W01,น้ำดื่ม,เครื่องดื่ม,1,21,21,15,15,6
O0024,2026-08-02 10:11:00,C023,ลูกค้า 23,True,W03,น้ำอัดลม,เครื่องดื่ม,1,13,13,6,6,7
O0025,2026-08-24 18:32:00,C042,ลูกค้า 42,True,S09,ขนมแท่ง,ขนม,4,29,116,19,76,40
O0025,2026-08-24 18:32:00,C042,ลูกค้า 42,True,S01,มันฝรั่งทอด,ขนม,1,18,18,12,12,6
O0026,2026-08-27 17:49:00,C009,ลูกค้า 9,False,S07,เยลลี่,ขนม,4,25,100,18,72,28
O0026,2026-08-27 17:49:00,C009,ลูกค้า 9,False,S01,มันฝรั่งทอด,ขนม,3,18,54,12,36,18
O0026,2026-08-27 17:49:00,C009,ลูกค้า 9,False,S05,คุกกี้,ขนม,2,18,36,12,24,12
O0026,2026-08-27 17:49:00,C009,ลูกค้า 9,False,S06,ข้าวเกรียบ,ขนม,3,25,75,10,30,45
O0027,2026-08-16 16:21:00,C007,ลูกค้า 7,False,S08,ถั่วอบ,ขนม,4,19,76,8,32,44
O0028,2026-08-24 08:16:00,C011,ลูกค้า 11,True,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0028,2026-08-24 08:16:00,C011,ลูกค้า 11,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,3,17,51,7,21,30
O0028,2026-08-24 08:16:00,C011,ลูกค้า 11,True,S09,ขนมแท่ง,ขนม,4,29,116,19,76,40
O0028,2026-08-24 08:16:00,C011,ลูกค้า 11,True,S10,เค้ก,ขนม,2,21,42,13,26,16
O0029,2026-08-14 10:20:00,C044,ลูกค้า 44,True,W03,น้ำอัดลม,เครื่องดื่ม,4,13,52,6,24,28
O0030,2026-08-28 11:50:00,C001,ลูกค้า 1,True,W04,ชาเขียว,เครื่องดื่ม,4,25,100,15,60,40
O0030,2026-08-28 11:50:00,C001,ลูกค้า 1,True,W02,น้ำแร่,เครื่องดื่ม,2,17,34,7,14,20
O0030,2026-08-28 11:50:00,C001,ลูกค้า 1,True,S09,ขนมแท่ง,ขนม,1,29,29,19,19,10
O0031,2026-08-03 19:20:00,C034,ลูกค้า 34,False,W02,น้ำแร่,เครื่องดื่ม,1,17,17,7,7,10
O0031,2026-08-03 19:20:00,C034,ลูกค้า 34,False,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,2,17,34,7,14,20
O0032,2026-08-14 21:06:00,C015,ลูกค้า 15,False,S04,เวเฟอร์,ขนม,4,18,72,13,52,20
O0033,2026-08-12 11:45:00,C042,ลูกค้า 42,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,1,17,17,7,7,10
O0033,2026-08-12 11:45:00,C042,ลูกค้า 42,True,S09,ขนมแท่ง,ขนม,3,29,87,19,57,30
O0033,2026-08-12 11:45:00,C042,ลูกค้า 42,True,W03,น้ำอัดลม,เครื่องดื่ม,2,13,26,6,12,14
O0033,2026-08-12 11:45:00,C042,ลูกค้า 42,True,W01,น้ำดื่ม,เครื่องดื่ม,3,21,63,15,45,18
O0034,2026-08-13 21:26:00,C032,ลูกค้า 32,False,S04,เวเฟอร์,ขนม,4,18,72,13,52,20
O0034,2026-08-13 21:26:00,C032,ลูกค้า 32,False,S06,ข้าวเกรียบ,ขนม,3,25,75,10,30,45
O0035,2026-08-24 17:03:00,C035,ลูกค้า 35,True,S09,ขนมแท่ง,ขนม,1,29,29,19,19,10
O0035,2026-08-24 17:03:00,C035,ลูกค้า 35,True,S04,เวเฟอร์,ขนม,1,18,18,13,13,5
O0036,2026-08-06 13:14:00,C046,ลูกค้า 46,False,S05,คุกกี้,ขนม,4,18,72,12,48,24
O0036,2026-08-06 13:14:00,C046,ลูกค้า 46,False,S10,เค้ก,ขนม,2,21,42,13,26,16
O0036,2026-08-06 13:14:00,C046,ลูกค้า 46,False,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0037,2026-08-17 21:58:00,C043,ลูกค้า 43,True,S03,ช็อกโกแลต,ขนม,3,30,90,16,48,42
O0037,2026-08-17 21:58:00,C043,ลูกค้า 43,True,S06,ข้าวเกรียบ,ขนม,4,25,100,10,40,60
O0037,2026-08-17 21:58:00,C043,ลูกค้า 43,True,S07,เยลลี่,ขนม,2,25,50,18,36,14
O0037,2026-08-17 21:58:00,C043,ลูกค้า 43,True,S09,ขนมแท่ง,ขนม,3,29,87,19,57,30
O0038,2026-08-09 15:03:00,C003,ลูกค้า 3,True,W01,น้ำดื่ม,เครื่องดื่ม,1,21,21,15,15,6
O0038,2026-08-09 15:03:00,C003,ลูกค้า 3,True,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0038,2026-08-09 15:03:00,C003,ลูกค้า 3,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,4,17,68,7,28,40
O0038,2026-08-09 15:03:00,C003,ลูกค้า 3,True,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0039,2026-08-26 14:53:00,C020,ลูกค้า 20,False,S09,ขนมแท่ง,ขนม,4,29,116,19,76,40
O0039,2026-08-26 14:53:00,C020,ลูกค้า 20,False,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0039,2026-08-26 14:53:00,C020,ลูกค้า 20,False,W01,น้ำดื่ม,เครื่องดื่ม,3,21,63,15,45,18
O0040,2026-08-29 08:03:00,C001,ลูกค้า 1,True,S03,ช็อกโกแลต,ขนม,1,30,30,16,16,14
O0040,2026-08-29 08:03:00,C001,ลูกค้า 1,True,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0040,2026-08-29 08:03:00,C001,ลูกค้า 1,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,4,17,68,7,28,40
O0041,2026-08-25 11:17:00,C026,ลูกค้า 26,False,S01,มันฝรั่งทอด,ขนม,4,18,72,12,48,24
O0041,2026-08-25 11:17:00,C026,ลูกค้า 26,False,S05,คุกกี้,ขนม,3,18,54,12,36,18
O0041,2026-08-25 11:17:00,C026,ลูกค้า 26,False,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0041,2026-08-25 11:17:00,C026,ลูกค้า 26,False,S04,เวเฟอร์,ขนม,4,18,72,13,52,20
O0042,2026-08-14 07:39:00,C037,ลูกค้า 37,False,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0043,2026-08-24 14:44:00,C041,ลูกค้า 41,True,W04,ชาเขียว,เครื่องดื่ม,2,25,50,15,30,20
O0043,2026-08-24 14:44:00,C041,ลูกค้า 41,True,S10,เค้ก,ขนม,2,21,42,13,26,16
O0044,2026-08-09 13:23:00,C050,ลูกค้า 50,False,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0044,2026-08-09 13:23:00,C050,ลูกค้า 50,False,S03,ช็อกโกแลต,ขนม,2,30,60,16,32,28
O0044,2026-08-09 13:23:00,C050,ลูกค้า 50,False,S10,เค้ก,ขนม,3,21,63,13,39,24
O0045,2026-08-14 11:55:00,C013,ลูกค้า 13,False,W02,น้ำแร่,เครื่องดื่ม,1,17,17,7,7,10
O0046,2026-08-22 12:50:00,C030,ลูกค้า 30,True,S07,เยลลี่,ขนม,3,25,75,18,54,21
O0046,2026-08-22 12:50:00,C030,ลูกค้า 30,True,W03,น้ำอัดลม,เครื่องดื่ม,1,13,13,6,6,7
O0047,2026-08-09 19:39:00,C012,ลูกค้า 12,True,S03,ช็อกโกแลต,ขนม,4,30,120,16,64,56
O0047,2026-08-09 19:39:00,C012,ลูกค้า 12,True,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0047,2026-08-09 19:39:00,C012,ลูกค้า 12,True,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0048,2026-08-14 11:41:00,C040,ลูกค้า 40,False,S04,เวเฟอร์,ขนม,4,18,72,13,52,20
O0048,2026-08-14 11:41:00,C040,ลูกค้า 40,False,S08,ถั่วอบ,ขนม,1,19,19,8,8,11
O0049,2026-08-04 10:59:00,C007,ลูกค้า 7,False,S03,ช็อกโกแลต,ขนม,2,30,60,16,32,28
O0049,2026-08-04 10:59:00,C007,ลูกค้า 7,False,S01,มันฝรั่งทอด,ขนม,1,18,18,12,12,6
O0049,2026-08-04 10:59:00,C007,ลูกค้า 7,False,S05,คุกกี้,ขนม,1,18,18,12,12,6
O0049,2026-08-04 10:59:00,C007,ลูกค้า 7,False,S04,เวเฟอร์,ขนม,4,18,72,13,52,20
O0050,2026-08-09 13:19:00,C004,ลูกค้า 4,True,W02,น้ำแร่,เครื่องดื่ม,4,17,68,7,28,40
O0050,2026-08-09 13:19:00,C004,ลูกค้า 4,True,W04,ชาเขียว,เครื่องดื่ม,4,25,100,15,60,40
O0050,2026-08-09 13:19:00,C004,ลูกค้า 4,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,1,17,17,7,7,10
O0050,2026-08-09 13:19:00,C004,ลูกค้า 4,True,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0051,2026-08-13 20:54:00,C039,ลูกค้า 39,True,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0051,2026-08-13 20:54:00,C039,ลูกค้า 39,True,S04,เวเฟอร์,ขนม,2,18,36,13,26,10
O0051,2026-08-13 20:54:00,C039,ลูกค้า 39,True,W01,น้ำดื่ม,เครื่องดื่ม,4,21,84,15,60,24
O0051,2026-08-13 20:54:00,C039,ลูกค้า 39,True,S03,ช็อกโกแลต,ขนม,4,30,120,16,64,56
O0052,2026-08-21 10:18:00,C009,ลูกค้า 9,False,S10,เค้ก,ขนม,3,21,63,13,39,24
O0052,2026-08-21 10:18:00,C009,ลูกค้า 9,False,S05,คุกกี้,ขนม,4,18,72,12,48,24
O0052,2026-08-21 10:18:00,C009,ลูกค้า 9,False,S03,ช็อกโกแลต,ขนม,1,30,30,16,16,14
O0053,2026-08-24 14:49:00,C040,ลูกค้า 40,False,S01,มันฝรั่งทอด,ขนม,3,18,54,12,36,18
O0053,2026-08-24 14:49:00,C040,ลูกค้า 40,False,W04,ชาเขียว,เครื่องดื่ม,2,25,50,15,30,20
O0053,2026-08-24 14:49:00,C040,ลูกค้า 40,False,S04,เวเฟอร์,ขนม,2,18,36,13,26,10
O0053,2026-08-24 14:49:00,C040,ลูกค้า 40,False,S10,เค้ก,ขนม,4,21,84,13,52,32
O0054,2026-08-26 21:44:00,C026,ลูกค้า 26,False,S06,ข้าวเกรียบ,ขนม,2,25,50,10,20,30
O0054,2026-08-26 21:44:00,C026,ลูกค้า 26,False,W03,น้ำอัดลม,เครื่องดื่ม,1,13,13,6,6,7
O0055,2026-08-21 08:12:00,C025,ลูกค้า 25,True,S09,ขนมแท่ง,ขนม,3,29,87,19,57,30
O0055,2026-08-21 08:12:00,C025,ลูกค้า 25,True,S06,ข้าวเกรียบ,ขนม,4,25,100,10,40,60
O0055,2026-08-21 08:12:00,C025,ลูกค้า 25,True,S02,ขนมปังกรอบ,ขนม,3,23,69,17,51,18
O0056,2026-08-06 14:32:00,C003,ลูกค้า 3,True,S05,คุกกี้,ขนม,4,18,72,12,48,24
O0057,2026-08-15 17:25:00,C046,ลูกค้า 46,False,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,2,17,34,7,14,20
O0057,2026-08-15 17:25:00,C046,ลูกค้า 46,False,S08,ถั่วอบ,ขนม,1,19,19,8,8,11
O0057,2026-08-15 17:25:00,C046,ลูกค้า 46,False,S09,ขนมแท่ง,ขนม,1,29,29,19,19,10
O0058,2026-08-01 16:02:00,C026,ลูกค้า 26,False,W02,น้ำแร่,เครื่องดื่ม,1,17,17,7,7,10
O0058,2026-08-01 16:02:00,C026,ลูกค้า 26,False,S09,ขนมแท่ง,ขนม,2,29,58,19,38,20
O0058,2026-08-01 16:02:00,C026,ลูกค้า 26,False,S08,ถั่วอบ,ขนม,1,19,19,8,8,11
O0059,2026-08-27 20:03:00,C039,ลูกค้า 39,True,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0059,2026-08-27 20:03:00,C039,ลูกค้า 39,True,W01,น้ำดื่ม,เครื่องดื่ม,4,21,84,15,60,24
O0059,2026-08-27 20:03:00,C039,ลูกค้า 39,True,S05,คุกกี้,ขนม,3,18,54,12,36,18
O0060,2026-08-16 12:37:00,C017,ลูกค้า 17,False,S05,คุกกี้,ขนม,4,18,72,12,48,24
O0060,2026-08-16 12:37:00,C017,ลูกค้า 17,False,S10,เค้ก,ขนม,4,21,84,13,52,32
O0061,2026-08-09 10:26:00,C028,ลูกค้า 28,True,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0061,2026-08-09 10:26:00,C028,ลูกค้า 28,True,S03,ช็อกโกแลต,ขนม,1,30,30,16,16,14
O0061,2026-08-09 10:26:00,C028,ลูกค้า 28,True,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0061,2026-08-09 10:26:00,C028,ลูกค้า 28,True,S05,คุกกี้,ขนม,1,18,18,12,12,6
O0062,2026-08-28 20:20:00,C039,ลูกค้า 39,True,S09,ขนมแท่ง,ขนม,3,29,87,19,57,30
O0062,2026-08-28 20:20:00,C039,ลูกค้า 39,True,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0063,2026-08-16 18:14:00,C044,ลูกค้า 44,True,S10,เค้ก,ขนม,2,21,42,13,26,16
O0063,2026-08-16 18:14:00,C044,ลูกค้า 44,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,2,17,34,7,14,20
O0063,2026-08-16 18:14:00,C044,ลูกค้า 44,True,W01,น้ำดื่ม,เครื่องดื่ม,4,21,84,15,60,24
O0063,2026-08-16 18:14:00,C044,ลูกค้า 44,True,S06,ข้าวเกรียบ,ขนม,4,25,100,10,40,60
O0064,2026-08-03 13:17:00,C016,ลูกค้า 16,True,S10,เค้ก,ขนม,4,21,84,13,52,32
O0064,2026-08-03 13:17:00,C016,ลูกค้า 16,True,S05,คุกกี้,ขนม,2,18,36,12,24,12
O0064,2026-08-03 13:17:00,C016,ลูกค้า 16,True,S09,ขนมแท่ง,ขนม,1,29,29,19,19,10
O0065,2026-08-24 15:35:00,C042,ลูกค้า 42,True,S01,มันฝรั่งทอด,ขนม,2,18,36,12,24,12
O0065,2026-08-24 15:35:00,C042,ลูกค้า 42,True,S05,คุกกี้,ขนม,3,18,54,12,36,18
O0065,2026-08-24 15:35:00,C042,ลูกค้า 42,True,S03,ช็อกโกแลต,ขนม,2,30,60,16,32,28
O0066,2026-08-01 13:32:00,C002,ลูกค้า 2,False,S10,เค้ก,ขนม,2,21,42,13,26,16
O0067,2026-08-19 09:50:00,C009,ลูกค้า 9,False,W01,น้ำดื่ม,เครื่องดื่ม,1,21,21,15,15,6
O0067,2026-08-19 09:50:00,C009,ลูกค้า 9,False,S03,ช็อกโกแลต,ขนม,4,30,120,16,64,56
O0068,2026-08-19 09:06:00,C010,ลูกค้า 10,False,W02,น้ำแร่,เครื่องดื่ม,4,17,68,7,28,40
O0068,2026-08-19 09:06:00,C010,ลูกค้า 10,False,W04,ชาเขียว,เครื่องดื่ม,4,25,100,15,60,40
O0069,2026-08-30 10:20:00,C033,ลูกค้า 33,True,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0069,2026-08-30 10:20:00,C033,ลูกค้า 33,True,S01,มันฝรั่งทอด,ขนม,2,18,36,12,24,12
O0069,2026-08-30 10:20:00,C033,ลูกค้า 33,True,W02,น้ำแร่,เครื่องดื่ม,1,17,17,7,7,10
O0070,2026-08-19 16:06:00,C047,ลูกค้า 47,True,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0070,2026-08-19 16:06:00,C047,ลูกค้า 47,True,W01,น้ำดื่ม,เครื่องดื่ม,4,21,84,15,60,24
O0071,2026-08-18 14:21:00,C014,ลูกค้า 14,False,S08,ถั่วอบ,ขนม,3,19,57,8,24,33
O0072,2026-08-01 14:43:00,C021,ลูกค้า 21,True,W03,น้ำอัดลม,เครื่องดื่ม,4,13,52,6,24,28
O0073,2026-08-22 18:03:00,C014,ลูกค้า 14,False,S02,ขนมปังกรอบ,ขนม,4,23,92,17,68,24
O0073,2026-08-22 18:03:00,C014,ลูกค้า 14,False,S07,เยลลี่,ขนม,4,25,100,18,72,28
O0074,2026-08-12 20:31:00,C008,ลูกค้า 8,False,W03,น้ำอัดลม,เครื่องดื่ม,4,13,52,6,24,28
O0075,2026-08-04 10:18:00,C046,ลูกค้า 46,False,S10,เค้ก,ขนม,3,21,63,13,39,24
O0075,2026-08-04 10:18:00,C046,ลูกค้า 46,False,W04,ชาเขียว,เครื่องดื่ม,1,25,25,15,15,10
O0075,2026-08-04 10:18:00,C046,ลูกค้า 46,False,S01,มันฝรั่งทอด,ขนม,2,18,36,12,24,12
O0075,2026-08-04 10:18:00,C046,ลูกค้า 46,False,S09,ขนมแท่ง,ขนม,3,29,87,19,57,30
O0076,2026-08-18 07:14:00,C033,ลูกค้า 33,True,S01,มันฝรั่งทอด,ขนม,1,18,18,12,12,6
O0076,2026-08-18 07:14:00,C033,ลูกค้า 33,True,S02,ขนมปังกรอบ,ขนม,2,23,46,17,34,12
O0076,2026-08-18 07:14:00,C033,ลูกค้า 33,True,S08,ถั่วอบ,ขนม,3,19,57,8,24,33
O0077,2026-08-30 09:36:00,C034,ลูกค้า 34,False,W02,น้ำแร่,เครื่องดื่ม,1,17,17,7,7,10
O0077,2026-08-30 09:36:00,C034,ลูกค้า 34,False,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0077,2026-08-30 09:36:00,C034,ลูกค้า 34,False,W03,น้ำอัดลม,เครื่องดื่ม,3,13,39,6,18,21
O0077,2026-08-30 09:36:00,C034,ลูกค้า 34,False,S08,ถั่วอบ,ขนม,3,19,57,8,24,33
O0078,2026-08-09 14:54:00,C021,ลูกค้า 21,True,S06,ข้าวเกรียบ,ขนม,4,25,100,10,40,60
O0078,2026-08-09 14:54:00,C021,ลูกค้า 21,True,S08,ถั่วอบ,ขนม,3,19,57,8,24,33
O0078,2026-08-09 14:54:00,C021,ลูกค้า 21,True,W02,น้ำแร่,เครื่องดื่ม,4,17,68,7,28,40
O0078,2026-08-09 14:54:00,C021,ลูกค้า 21,True,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0079,2026-08-27 17:12:00,C033,ลูกค้า 33,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,1,17,17,7,7,10
O0080,2026-08-17 08:37:00,C037,ลูกค้า 37,False,W02,น้ำแร่,เครื่องดื่ม,1,17,17,7,7,10
O0080,2026-08-17 08:37:00,C037,ลูกค้า 37,False,S01,มันฝรั่งทอด,ขนม,2,18,36,12,24,12
O0080,2026-08-17 08:37:00,C037,ลูกค้า 37,False,S09,ขนมแท่ง,ขนม,3,29,87,19,57,30
O0080,2026-08-17 08:37:00,C037,ลูกค้า 37,False,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,3,17,51,7,21,30
O0081,2026-08-23 08:35:00,C003,ลูกค้า 3,True,S01,มันฝรั่งทอด,ขนม,1,18,18,12,12,6
O0081,2026-08-23 08:35:00,C003,ลูกค้า 3,True,W01,น้ำดื่ม,เครื่องดื่ม,3,21,63,15,45,18
O0081,2026-08-23 08:35:00,C003,ลูกค้า 3,True,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0082,2026-08-26 10:03:00,C039,ลูกค้า 39,True,S07,เยลลี่,ขนม,1,25,25,18,18,7
O0082,2026-08-26 10:03:00,C039,ลูกค้า 39,True,S03,ช็อกโกแลต,ขนม,2,30,60,16,32,28
O0083,2026-08-11 18:22:00,C039,ลูกค้า 39,True,S04,เวเฟอร์,ขนม,3,18,54,13,39,15
O0084,2026-08-21 18:55:00,C019,ลูกค้า 19,True,S05,คุกกี้,ขนม,2,18,36,12,24,12
O0084,2026-08-21 18:55:00,C019,ลูกค้า 19,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,2,17,34,7,14,20
O0084,2026-08-21 18:55:00,C019,ลูกค้า 19,True,S10,เค้ก,ขนม,1,21,21,13,13,8
O0085,2026-08-15 10:03:00,C018,ลูกค้า 18,True,S04,เวเฟอร์,ขนม,1,18,18,13,13,5
O0085,2026-08-15 10:03:00,C018,ลูกค้า 18,True,W03,น้ำอัดลม,เครื่องดื่ม,2,13,26,6,12,14
O0086,2026-08-29 13:18:00,C004,ลูกค้า 4,True,S03,ช็อกโกแลต,ขนม,3,30,90,16,48,42
O0086,2026-08-29 13:18:00,C004,ลูกค้า 4,True,S10,เค้ก,ขนม,2,21,42,13,26,16
O0086,2026-08-29 13:18:00,C004,ลูกค้า 4,True,W05,เครื่องดื่มวิตามิน,เครื่องดื่ม,2,17,34,7,14,20
O0086,2026-08-29 13:18:00,C004,ลูกค้า 4,True,S07,เยลลี่,ขนม,3,25,75,18,54,21
