transaction_id,order_id,order_time,customer_id,product_id,quantity,unit_price,unit_cost,sales_amount,discount_amount,net_sales_amount,cost_amount,profit
246,O0084,2026-08-06 07:08:00,C025,D03,4,19,12,76,0.0,76.0,48,28.0
247,O0085,2026-08-25 18:05:00,C015,S10,3,33,18,99,0.0,99.0,54,45.0
248,O0086,2026-08-05 18:44:00,C032,D06,1,14,6,14,0.0,14.0,6,8.0
249,O0086,2026-08-05 18:44:00,C032,H02,1,44,27,44,0.0,44.0,27,17.0
250,O0086,2026-08-05 18:44:00,C032,S09,3,20,12,60,0.0,60.0,36,24.0
251,O0086,2026-08-05 18:44:00,C032,S10,2,33,18,66,0.0,66.0,36,30.0
252,O0086,2026-08-05 18:44:00,C032,H05,1,35,20,35,0.0,35.0,20,15.0
253,O0087,2026-08-13 15:16:00,C039,S02,2,15,9,30,0.0,30.0,18,12.0
254,O0087,2026-08-13 15:16:00,C039,S09,3,20,12,60,0.0,60.0,36,24.0
255,O0088,2026-08-28 21:28:00,C019,S02,4,15,9,60,0.0,60.0,36,24.0
256,O0089,2026-08-19 18:24:00,C017,D07,4,17,10,68,0.0,68.0,40,28.0
257,O0089,2026-08-19 18:24:00,C017,S08,1,16,9,16,0.0,16.0,9,7.0
258,O0090,2026-08-07 16:32:00,C014,D05,1,21,15,21,0.0,21.0,15,6.0
259,O0091,2026-08-10 12:36:00,C011,S08,3,16,9,48,0.0,48.0,27,21.0
260,O0091,2026-08-10 12:36:00,C011,D03,2,19,12,38,0.0,38.0,24,14.0
261,O0091,2026-08-10 12:36:00,C011,S07,3,18,9,54,0.0,54.0,27,27.0
262,O0091,2026-08-10 12:36:00,C011,H07,1,38,21,38,0.0,38.0,21,17.0
263,O0092,2026-08-27 14:42:00,C017,H04,2,50,32,100,0.0,100.0,64,36.0
264,O0093,2026-08-07 13:06:00,C028,S02,1,15,9,15,0.0,15.0,9,6.0
265,O0093,2026-08-07 13:06:00,C028,S06,3,22,9,66,0.0,66.0,27,39.0
266,O0094,2026-08-30 13:06:00,C012,S01,1,33,18,33,0.0,33.0,18,15.0
267,O0094,2026-08-30 13:06:00,C012,D02,1,17,8,17,0.0,17.0,8,9.0
268,O0094,2026-08-30 13:06:00,C012,D06,1,14,6,14,0.0,14.0,6,8.0
269,O0094,2026-08-30 13:06:00,C012,S08,1,16,9,16,0.0,16.0,9,7.0
270,O0095,2026-08-19 15:45:00,C002,S06,3,22,9,66,0.0,66.0,27,39.0
271,O0095,2026-08-19 15:45:00,C002,H05,2,35,20,70,0.0,70.0,40,30.0
272,O0095,2026-08-19 15:45:00,C002,S10,3,33,18,99,0.0,99.0,54,45.0
273,O0096,2026-08-05 20:24:00,C049,D03,2,19,12,38,2.05,35.95,24,11.95
274,O0096,2026-08-05 20:24:00,C049,S02,1,15,9,15,0.81,14.19,9,5.19
275,O0096,2026-08-05 20:24:00,C049,H01,1,58,35,58,3.14,54.86,35,19.86
276,O0097,2026-08-25 08:34:00,C038,S02,3,15,9,45,0.48,44.52,27,17.52
277,O0097,2026-08-25 08:34:00,C038,D04,3,16,8,48,0.52,47.48,24,23.48
278,O0098,2026-08-24 20:23:00,C010,S01,1,33,18,33,0.0,33.0,18,15.0
279,O0098,2026-08-24 20:23:00,C010,D04,4,16,8,64,0.0,64.0,32,32.0
280,O0098,2026-08-24 20:23:00,C010,S03,1,30,16,30,0.0,30.0,16,14.0
281,O0098,2026-08-24 20:23:00,C010,S02,2,15,9,30,0.0,30.0,18,12.0
282,O0098,2026-08-24 20:23:00,C010,D02,4,17,8,68,0.0,68.0,32,36.0
283,O0099,2026-08-30 18:31:00,C036,H03,1,55,35,55,0.0,55.0,35,20.0
284,O0099,2026-08-30 18:31:00,C036,D02,4,17,8,68,0.0,68.0,32,36.0
285,O0099,2026-08-30 18:31:00,C036,D05,3,21,15,63,0.0,63.0,45,18.0
286,O0099,2026-08-30 18:31:00,C036,S01,2,33,18,66,0.0,66.0,36,30.0
287,O0099,2026-08-30 18:31:00,C036,S08,2,16,9,32,0.0,32.0,18,14.0
288,O0100,2026-08-04 16:35:00,C019,D05,3,21,15,63,0.0,63.0,45,18.0
289,O0100,2026-08-04 16:35:00,C019,D08,1,22,15,22,0.0,22.0,15,7.0
290,O0100,2026-08-04 16:35:00,C019,S03,2,30,16,60,0.0,60.0,32,28.0
291,O0100,2026-08-04 16:35:00,C019,S07,1,18,9,18,0.0,18.0,9,9.0
292,O0100,2026-08-04 16:35:00,C019,H02,2,44,27,88,0.0,88.0,54,34.0
293,O0101,2026-08-22 15:27:00,C036,S07,2,18,9,36,0.0,36.0,18,18.0
294,O0101,2026-08-22 15:27:00,C036,D01,1,18,8,18,0.0,18.0,8,10.0
295,O0101,2026-08-22 15:27:00,C036,D07,4,17,10,68,0.0,68.0,40,28.0
